,language
1533,English
1534,English
1535,English
1536,English
1537,English
1538,English
1539,English
1540,English
1541,English
1542,English
1543,English
1544,English
1545,English
1546,English
1547,English
1548,English
1549,English
1550,English
1551,English
1552,English
1553,English
1554,English
1555,English
1556,English
1557,English
1558,English
1559,English
1560,English
1561,English
1562,English
1563,English
1564,English
1565,English
1566,English
1567,English
1568,English
1569,English
1570,English
1571,English
1572,English
1573,English
1574,English
1575,English
1576,English
1577,English
1578,English
1579,English
1580,English
1581,English
1582,English
1583,English
1584,English
1585,English
1586,English
1587,English
1588,English
1589,English
1590,English
1591,English
1592,English
1593,English
1594,English
1595,English
1596,English
1597,English
1598,English
1599,English
1600,English
1601,English
1602,English
1603,English
1604,English
1605,English
1606,English
1607,English
1608,English
1609,English
1610,English
1611,English
1612,English
1613,English
1614,English
1615,English
1616,English
1617,English
1618,English
1619,English
1620,English
1621,English
1622,English
1623,English
1624,English
1625,English
1626,English
1627,English
1628,English
1629,English
1630,English
1631,English
1632,English
1633,English
1634,English
1635,English
1636,English
1637,English
1638,English
1639,English
1640,English
1641,English
1642,English
1643,English
1644,English
1645,English
1646,English
1647,English
1648,English
1649,English
1650,English
1651,English
1652,English
1653,English
1654,English
1655,English
1656,English
1657,English
1658,English
1659,English
1660,English
1661,English
1662,English
1663,English
1664,English
1665,English
1666,English
1667,English
1668,English
1669,English
1670,English
1671,English
1672,English
1673,English
1674,English
1675,English
1676,English
1677,English
1678,English
1679,English
1680,English
1681,English
1682,English
1683,English
1684,English
1685,English
1686,English
1687,English
1688,English
1689,English
1690,English
1691,English
1692,English
1693,English
1694,English
1695,English
1696,English
1697,English
1698,English
1699,English
1700,English
1701,English
1702,English
1703,English
1704,English
1705,English
1706,English
1707,English
1708,English
1709,English
1710,English
1711,English
1712,English
1713,English
1714,English
1715,English
1716,English
1717,English
1718,English
1719,English
1720,English
1721,English
1722,English
1723,English
1724,English
1725,English
1726,English
1727,English
1728,English
1729,English
1730,English
1731,English
1732,English
1733,English
1734,English
1735,English
1736,English
1737,English
1738,English
1739,English
1740,English
1741,English
1742,English
1743,English
1744,English
1745,English
1746,English
1747,English
1748,English
1749,English
1750,English
1751,English
1752,English
1753,English
1754,English
1755,English
1756,English
1757,English
1758,English
1759,English
1760,English
1761,English
1762,English
1763,English
1764,English
1765,English
1766,English
1767,English
1768,English
1769,English
1770,English
1771,English
1772,English
1773,English
1774,English
1775,English
1776,English
1777,English
1778,English
1779,English
1780,English
1781,English
1782,English
1783,English
1784,English
1785,English
1786,English
1787,English
1788,English
1789,English
1790,English
1791,English
1792,English
1793,English
1794, Turkish
1795,English
1796, Hindi
1797, Bengali
1798,English
1799, Persian
1800,English
1801, Persian
1802, Turkish
1803,English
1804, Persian
1805,English
1806, Chinese
1807,English
1808, Chinese
1809,English
1810, Chinese
1811,English
1812, Chinese
1813,English
1814, Chinese
1815,English
1816, Chinese
1817,English
1818, Chinese
1819,English
1820, Chinese
1821,English
1822, Deutsch
1823, Polish
1824,English
1825, Persian
1826, Kurdish
1827,English
1828, Russian
1829,English
1830, Russian
1831, Kyrgyz
1832,English
1833, Turkish 
1834, French
1835,English
1836, Vietnamese
1837,Farsi
1838,Farsi
1839,Farsi
1840,Farsi
1841,Farsi
1842,Farsi
1843,Filipino
1844,French
1845,French
1846,French
1847,French
1848,German
1849, Persian
1850,Germany
1851,Germany
1852,Germany
1853,Germany
1854,Germany
1855,Germany
1856,Germany
1857,Chinese
1858,Indian
1859,Indian
1860,Indonesian
1861, English
1862,Indonesian
1863, English
1864,Indonesian
1865,Indonesian
1866,Indonesian
1867,Indonesian
1868,Indonesian
1869,Indonesian
1870,Indonesian
1871,Indonesian
1872,Indonesian
1873,Indonesian
1874,Indonesian
1875,Indonesian
1876,Indonesian
1877,Indonesian
1878,Indonesian
1879,Indonesian
1880,Indonesian
1881,Indonesian
1882,Indonesian
1883,Indonesian
1884,Indonesian
1885,Indonesian
1886,Indonesian
1887,Indonesian
1888,Indonesian
1889,Indonesian
1890,Indonesian
1891,Indonesian
1892,Indonesian
1893,Indonesian
1894,Indonesian
1895,Indonesian
1896,Indonesian
1897,Indonesian
1898,Italian
1899, English
1900,Italian
1901,Japanese
1902,Japanese
1903,Japanese
1904,Japanese
1905,Japanese
